Recipient_ID,Volunteer_ID,Location,Role,Card_Received,Stress_Level_Before_Card,Stress_Level_After_Card,Job_Satisfaction_Before_Card,Job_Satisfaction_After_Card,Volunteer_Participation,Volunteer_Motivation_Score,Emotional_Response_Score
R0001,V0001,"Houston, TX",Police Officer,Yes,6,3,7,7,2,4,7
R0002,V0002,"Houston, TX",Police Officer,Yes,2,3,4,9,15,7,8
R0003,V0003,"Houston, TX",Educator,No,8,8,9,4,18,9,8
R0004,V0004,"Houston, TX",Educator,Yes,4,10,1,10,6,1,10
R0005,V0005,"Houston, TX",Healthcare Worker,No,10,10,3,10,16,3,6
R0006,V0006,"Houston, TX",Police Officer,Yes,7,7,7,1,13,3,2
R0007,V0007,"Houston, TX",Educator,Yes,6,10,10,7,17,2,9
R0008,V0008,"Houston, TX",Educator,No,2,4,4,10,1,5,8
R0009,V0009,"Houston, TX",Police Officer,Yes,8,8,1,8,19,1,8
R0010,V0010,"Houston, TX",Educator,Yes,7,7,4,8,18,5,8
R0011,V0011,"Houston, TX",Healthcare Worker,Yes,4,4,6,3,16,5,9
R0012,V0012,"Houston, TX",Educator,Yes,8,5,9,3,8,5,7
R0013,V0013,"Houston, TX",Healthcare Worker,Yes,1,9,2,8,17,4,8
R0014,V0014,"Houston, TX",Educator,No,4,4,5,1,12,8,5
R0015,V0015,"Houston, TX",Healthcare Worker,No,7,6,2,6,1,2,7
R0016,V0016,"Houston, TX",Educator,Yes,9,5,1,6,13,7,7
R0017,V0017,"Houston, TX",Healthcare Worker,No,10,2,6,3,13,1,7
R0018,V0018,"Houston, TX",Police Officer,Yes,5,2,10,8,18,5,8
R0019,V0019,"Houston, TX",Healthcare Worker,Yes,7,2,3,2,7,7,10
R0020,V0020,"Houston, TX",Healthcare Worker,No,9,3,8,5,10,1,9
R0021,V0021,"Houston, TX",Police Officer,Yes,4,6,5,2,15,4,7
R0022,V0022,"Houston, TX",Educator,Yes,10,9,4,8,14,9,8
R0023,V0023,"Houston, TX",Healthcare Worker,Yes,3,9,7,2,7,9,9
R0024,V0024,"Houston, TX",Educator,Yes,8,5,9,6,8,10,8
R0025,V0025,"Houston, TX",Healthcare Worker,Yes,2,9,8,2,5,5,8
R0026,V0026,"Houston, TX",Healthcare Worker,Yes,7,9,3,7,3,3,8
R0027,V0027,"Houston, TX",Police Officer,No,5,10,2,10,18,5,8
R0028,V0028,"Houston, TX",Healthcare Worker,No,9,10,10,2,15,5,10
R0029,V0029,"Houston, TX",Police Officer,No,3,8,8,7,1,4,3
R0030,V0030,"Houston, TX",Healthcare Worker,No,10,1,4,10,11,8,10
R0031,V0031,"Houston, TX",Educator,No,5,6,2,3,3,6,4
R0032,V0032,"Houston, TX",Police Officer,No,7,8,5,2,13,2,7
R0033,V0033,"Houston, TX",Healthcare Worker,No,1,4,3,3,4,1,8
R0034,V0034,"Houston, TX",Healthcare Worker,No,4,8,6,4,19,7,7
R0035,V0035,"Houston, TX",Healthcare Worker,Yes,5,3,6,1,8,4,10
R0036,V0036,"Houston, TX",Educator,No,1,4,3,1,11,8,7
R0037,V0037,"Houston, TX",Healthcare Worker,No,5,1,8,5,13,10,9
R0038,V0038,"Houston, TX",Police Officer,No,7,6,2,3,19,7,7
R0039,V0039,"Houston, TX",Police Officer,Yes,8,4,4,2,8,10,9
R0040,V0040,"Houston, TX",Police Officer,Yes,9,4,7,5,5,4,7
R0041,V0041,"Houston, TX",Healthcare Worker,Yes,4,4,10,5,10,8,7
R0042,V0042,"Houston, TX",Police Officer,No,4,1,3,1,12,10,5
R0043,V0043,"Houston, TX",Healthcare Worker,No,10,6,3,10,8,4,6
R0044,V0044,"Houston, TX",Educator,Yes,10,1,4,5,12,3,8
R0045,V0045,"Houston, TX",Educator,No,8,8,5,6,7,1,10
R0046,V0046,"Houston, TX",Police Officer,Yes,2,2,10,9,3,1,10
R0047,V0047,"Houston, TX",Police Officer,Yes,5,8,4,10,10,6,4
R0048,V0048,"Houston, TX",Educator,No,6,4,1,3,1,4,3
R0049,V0049,"Houston, TX",Educator,No,5,3,2,5,9,5,7
